TeamAvgSalary,Team,Season
284.4,DEN,2010
257.5,POR,2010
26.2,MIA,2010
139.2,MIL,2010
140.2,CHA,2010
411.2,OKC,2010
106.3,CHI,2010
74.2,PHO,2010
289.7,SAS,2010
306.1,UTA,2010
110.8,DEN,2011
305.5,POR,2011
360.9,ORL,2011
334.6,NOH,2011
23.3,LAL,2011
32.1,IND,2011
152.3,CHI,2011
348.4,PHI,2011
419.7,ATL,2011
134.2,DEN,2012
512.1,MEM,2012
360.9,ORL,2012
335.7,NYK,2012
23.3,LAL,2012
153.0,IND,2012
411.2,OKC,2012
152.3,CHI,2012
221.8,SAS,2012
77.6,UTA,2012
325.2,PHI,2012
358.4,ATL,2012
264.0,LAC,2012
126.3,DAL,2012
408.3,MEM,2013
348.6,LAC,2013
138.9,CHI,2013
261.6,GSW,2013
234.3,DEN,2013
411.2,OKC,2013
123.5,MIL,2013
221.8,SAS,2013
303.9,ATL,2013
120.9,IND,2013
365.2,BRK,2013
305.5,POR,2014
408.9,MEM,2014
60.1,WAS,2014
451.0,LAC,2014
254.4,SAS,2014
303.8,GSW,2014
180.3,HOU,2014
411.2,OKC,2014
244.4,TOR,2014
265.4,DAL,2014
120.9,IND,2014
223.0,ATL,2014
365.2,BRK,2014
305.5,POR,2015
436.8,MEM,2015
298.8,NOP,2015
225.4,HOU,2015
464.2,LAC,2015
254.4,SAS,2015
303.8,GSW,2015
430.7,DAL,2015
244.4,TOR,2015
254.3,ATL,2015
403.0,BRK,2015
171.3,CLE,2015
408.3,SAS,2016
395.8,MEM,2016
294.2,HOU,2016
138.0,CHO,2016
303.8,GSW,2016
379.9,OKC,2016
180.5,MIA,2016
179.4,TOR,2016
168.9,IND,2016
483.2,DAL,2016
254.3,ATL,2016
218.1,CLE,2016
395.6,LAC,2016
26.8,DET,2016
350.6,SAS,2017
226.6,HOU,2017
26.2,MIL,2017
179.4,TOR,2017
239.7,IND,2017
452.6,LAC,2017
208.4,UTA,2017
184.7,BOS,2017
196.6,ATL,2017
218.1,CLE,2017
65.0,BOS,2016
232.7,DAL,2011
369.5,NYK,2013
192.0,LAL,2013
372.4,MEM,2017
540.2,GSW,2017
27.5,WAS,2017
159.1,OKC,2017
31.6,BOS,2010
384.2,ORL,2010
97.9,CLE,2010
419.7,ATL,2010
126.3,DAL,2010
488.9,MEM,2011
411.2,OKC,2011
331.9,SAS,2011
26.2,MIA,2014
123.0,MIL,2015
