Player,Season,Pos,Team,G,Salary,PPG,APG,RPG,BPG,SPG,TPG
Dirk Nowitzki,2011,PF,DAL,73.0,22.72,23.0,2.6,7.0,0.6,0.5,1.9
Tony Parker,2011,PG,SAS,78.0,12.5,17.5,6.6,3.1,0.0,1.2,2.6
Chris Paul,2011,PG,NOH,80.0,18.67,15.8,9.8,4.1,0.1,2.4,2.2
Zach Randolph,2011,PF,MEM,75.0,17.8,20.1,2.2,12.2,0.3,0.8,2.0
J.J. Redick,2011,SG,ORL,59.0,6.3,10.1,1.7,1.9,0.1,0.5,0.9
Thabo Sefolosha,2011,SG,OKC,79.0,3.9,5.1,1.4,4.4,0.5,1.2,0.7
J.R. Smith,2011,SF,DEN,79.0,5.56,12.3,2.2,4.1,0.2,1.2,1.3
Jason Smith,2011,C,NOH,77.0,2.5,4.3,0.5,3.1,0.4,0.3,0.7
Marreese Speights,2011,C,PHI,64.0,3.5,5.4,0.5,3.3,0.3,0.1,0.6
Jeff Teague,2011,PG,ATL,70.0,8.0,5.2,2.0,1.5,0.4,0.6,0.9
Beno Udrih,2011,PG,SAC,79.0,1.27,13.7,4.9,3.4,0.1,1.2,1.8
Anderson Varejao,2011,C,CLE,31.0,9.04,9.1,1.5,9.7,1.2,0.9,1.3
David West,2011,PF,NOH,70.0,12.0,18.9,2.3,7.6,0.9,1.0,2.0
Russell Westbrook,2011,PG,OKC,82.0,14.69,21.9,8.2,4.6,0.4,1.9,3.9
Deron Williams,2011,PG,TOT,65.0,18.47,20.1,10.3,4.0,0.2,1.2,3.5
Nick Young,2011,SG,WAS,64.0,1.11,17.4,1.2,2.7,0.3,0.7,1.4
Thaddeus Young,2011,PF,PHI,82.0,8.6,12.7,1.0,5.3,0.3,1.1,1.2
Arron Afflalo,2012,SG,DEN,62.0,7.31,15.2,2.4,3.2,0.2,0.6,1.4
LaMarcus Aldridge,2012,PF,POR,55.0,14.13,21.7,2.4,8.0,0.8,0.9,2.0
Tony Allen,2012,SG,MEM,58.0,4.49,9.8,1.4,4.0,0.6,1.8,1.6
Ryan Anderson,2012,PF,ORL,61.0,8.31,16.1,0.9,7.7,0.4,0.8,0.9
Carmelo Anthony,2012,SF,NYK,55.0,22.41,22.6,3.6,6.3,0.4,1.1,2.6
Trevor Ariza,2012,SF,NOH,41.0,7.73,10.8,3.3,5.2,0.6,1.7,1.9
Matt Barnes,2012,SF,LAL,63.0,3.25,7.8,2.0,5.5,0.8,0.6,1.2
Nicolas Batum,2012,SF,POR,59.0,11.3,13.9,1.4,4.6,1.0,1.0,1.5
Jerryd Bayless,2012,PG,TOR,31.0,3.14,11.4,3.8,2.1,0.1,0.8,1.7
Michael Beasley,2012,SF,MIN,47.0,4.67,11.5,1.0,4.4,0.4,0.4,1.7
Marco Belinelli,2012,SG,NOH,66.0,2.75,11.8,1.5,2.6,0.1,0.7,1.0
Andrew Bogut,2012,C,MIL,12.0,14.0,11.3,2.6,8.3,2.0,1.0,2.0
Corey Brewer,2012,SF,DEN,59.0,4.5,8.9,1.5,2.5,0.3,1.2,0.9
Tyson Chandler,2012,C,NYK,62.0,14.1,11.3,0.9,9.9,1.4,0.9,1.6
Darren Collison,2012,PG,IND,60.0,1.9,10.4,4.8,3.1,0.2,0.8,1.9
Nick Collison,2012,PF,OKC,63.0,2.59,4.5,1.3,4.3,0.4,0.5,1.0
Mike Conley,2012,PG,MEM,62.0,8.0,12.7,6.5,2.5,0.2,2.2,2.0
Stephen Curry,2012,PG,GSW,26.0,9.89,14.7,5.3,3.4,0.3,1.5,2.5
Luol Deng,2012,SF,CHI,54.0,14.28,15.3,2.9,6.5,0.7,1.0,1.8
DeMar DeRozan,2012,SG,TOR,63.0,9.5,16.7,2.0,3.3,0.3,0.8,2.0
Goran Dragic,2012,PG,HOU,66.0,7.5,11.7,5.3,2.5,0.2,1.3,2.4
Kevin Durant,2012,SF,OKC,66.0,17.83,28.0,3.5,8.0,1.2,1.3,3.8
Wayne Ellington,2012,SG,MIN,51.0,2.65,6.1,0.6,1.9,0.2,0.5,0.5
Monta Ellis,2012,SG,TOT,58.0,8.0,20.4,6.0,3.4,0.3,1.5,3.1
Tyreke Evans,2012,SG,SAC,63.0,10.3,16.5,4.5,4.6,0.5,1.3,2.7
Raymond Felton,2012,PG,POR,60.0,3.64,11.4,6.5,2.5,0.2,1.3,2.8
Marc Gasol,2012,C,MEM,65.0,14.86,14.6,3.1,8.9,1.9,1.0,1.9
Rudy Gay,2012,SF,MEM,65.0,17.89,19.0,2.3,6.4,0.8,1.5,2.5
