Player,Season,Pos,Team,G,ORB,DRB,AST,STL,BLK,TOV,PTS
Ty Lawson,2010.0,PG,DEN,65.0,42.0,82.0,203.0,48.0,2.0,82.0,542.0
Courtney Lee,2010.0,SG,NJN,71.0,60.0,192.0,121.0,93.0,20.0,76.0,885.0
David Lee,2010.0,C,NYK,81.0,228.0,721.0,295.0,85.0,40.0,189.0,1640.0
Shaun Livingston,2010.0,PG,TOT,36.0,16.0,62.0,130.0,17.0,11.0,58.0,250.0
Brook Lopez,2010.0,C,NJN,82.0,270.0,439.0,187.0,55.0,139.0,204.0,1542.0
Robin Lopez,2010.0,C,PHO,51.0,104.0,144.0,7.0,10.0,53.0,41.0,430.0
Kevin Love,2010.0,PF,MIN,60.0,227.0,431.0,136.0,43.0,23.0,117.0,842.0
Kyle Lowry,2010.0,PG,HOU,68.0,91.0,156.0,305.0,60.0,9.0,116.0,620.0
Ian Mahinmi,2010.0,C,SAS,26.0,13.0,39.0,2.0,3.0,8.0,15.0,101.0
Wesley Matthews,2010.0,SG,UTA,82.0,50.0,141.0,124.0,64.0,15.0,93.0,769.0
Luc Mbah,2010.0,PF,MIL,73.0,171.0,229.0,81.0,60.0,39.0,70.0,453.0
JaVale McGee,2010.0,C,WAS,60.0,88.0,155.0,14.0,16.0,101.0,51.0,386.0
Josh McRoberts,2010.0,C,IND,42.0,40.0,87.0,44.0,17.0,16.0,19.0,179.0
Jodie Meeks,2010.0,SG,TOT,60.0,9.0,90.0,39.0,18.0,5.0,25.0,281.0
C.J. Miles,2010.0,SF,UTA,63.0,42.0,126.0,105.0,58.0,17.0,81.0,622.0
Mike Miller,2010.0,SG,WAS,54.0,55.0,281.0,212.0,39.0,12.0,115.0,586.0
Paul Millsap,2010.0,PF,UTA,82.0,186.0,373.0,131.0,64.0,99.0,116.0,954.0
Anthony Morrow,2010.0,SG,GSW,69.0,61.0,198.0,104.0,65.0,16.0,84.0,899.0
Jameer Nelson,2010.0,PG,ORL,65.0,26.0,168.0,353.0,48.0,2.0,139.0,818.0
Steve Novak,2010.0,SF,LAC,54.0,1.0,32.0,6.0,7.0,2.0,2.0,113.0
Dirk Nowitzki,2010.0,PF,DAL,81.0,80.0,540.0,218.0,70.0,79.0,149.0,2027.0
Tony Parker,2010.0,PG,SAS,56.0,7.0,128.0,317.0,29.0,8.0,149.0,894.0
Chris Paul,2010.0,PG,NOH,45.0,20.0,171.0,480.0,96.0,8.0,112.0,841.0
Paul Pierce,2010.0,SF,BOS,71.0,39.0,271.0,218.0,84.0,31.0,166.0,1296.0
Ronnie Price,2010.0,PG,UTA,60.0,28.0,46.0,123.0,40.0,13.0,56.0,255.0
Zach Randolph,2010.0,PF,MEM,81.0,330.0,620.0,149.0,80.0,34.0,174.0,1681.0
J.J. Redick,2010.0,SG,ORL,82.0,17.0,138.0,158.0,28.0,4.0,63.0,788.0
Rajon Rondo,2010.0,PG,BOS,81.0,100.0,260.0,794.0,189.0,11.0,246.0,1110.0
Brandon Rush,2010.0,SG,IND,82.0,41.0,305.0,112.0,56.0,65.0,93.0,774.0
Luis Scola,2010.0,PF,HOU,82.0,175.0,530.0,169.0,63.0,26.0,163.0,1329.0
Thabo Sefolosha,2010.0,SG,OKC,82.0,76.0,311.0,145.0,97.0,46.0,90.0,489.0
Ramon Sessions,2010.0,PG,MIN,82.0,58.0,156.0,258.0,55.0,5.0,137.0,674.0
J.R. Smith,2010.0,SG,DEN,75.0,28.0,206.0,183.0,99.0,20.0,139.0,1156.0
Jason Smith,2010.0,PF,PHI,56.0,54.0,81.0,33.0,21.0,28.0,35.0,189.0
Marreese Speights,2010.0,C,PHI,62.0,85.0,167.0,36.0,29.0,34.0,51.0,532.0
Rodney Stuckey,2010.0,PG,DET,73.0,67.0,214.0,348.0,101.0,12.0,163.0,1215.0
Jeff Teague,2010.0,PG,ATL,71.0,5.0,62.0,122.0,34.0,11.0,50.0,228.0
Jason Terry,2010.0,SG,DAL,77.0,19.0,121.0,292.0,94.0,17.0,109.0,1280.0
Marcus Thornton,2010.0,SG,NOH,73.0,72.0,139.0,114.0,58.0,11.0,76.0,1057.0
Anthony Tolliver,2010.0,PF,TOT,46.0,84.0,236.0,87.0,32.0,33.0,46.0,539.0
Beno Udrih,2010.0,PG,SAC,79.0,38.0,181.0,372.0,89.0,10.0,136.0,1023.0
Anderson Varejao,2010.0,PF,CLE,76.0,189.0,389.0,87.0,71.0,67.0,67.0,651.0
Dwyane Wade,2010.0,SG,MIA,77.0,107.0,266.0,501.0,142.0,82.0,252.0,2045.0
C.J. Watson,2010.0,PG,GSW,65.0,28.0,141.0,180.0,103.0,8.0,69.0,667.0
David West,2010.0,PF,NOH,81.0,164.0,441.0,239.0,76.0,60.0,173.0,1541.0
Russell Westbrook,2010.0,PG,OKC,82.0,143.0,258.0,652.0,108.0,34.0,268.0,1322.0
Deron Williams,2010.0,PG,UTA,76.0,50.0,253.0,798.0,96.0,16.0,252.0,1419.0
Lou Williams,2010.0,PG,PHI,64.0,25.0,162.0,268.0,80.0,15.0,106.0,898.0
Nick Young,2010.0,SG,WAS,74.0,20.0,82.0,48.0,28.0,8.0,56.0,639.0
Thaddeus Young,2010.0,PF,PHI,67.0,130.0,220.0,97.0,81.0,15.0,126.0,926.0
Arron Afflalo,2011.0,SG,DEN,69.0,45.0,206.0,168.0,34.0,31.0,71.0,867.0
LaMarcus Aldridge,2011.0,PF,POR,81.0,278.0,431.0,170.0,82.0,94.0,153.0,1769.0
Tony Allen,2011.0,SG,MEM,72.0,70.0,123.0,104.0,129.0,44.0,86.0,643.0
Chris Andersen,2011.0,C,DEN,45.0,75.0,144.0,20.0,23.0,58.0,25.0,250.0
Ryan Anderson,2011.0,PF,ORL,64.0,129.0,226.0,52.0,30.0,38.0,49.0,681.0
Carmelo Anthony,2011.0,SF,TOT,77.0,118.0,445.0,221.0,68.0,46.0,206.0,1970.0
Joel Anthony,2011.0,C,MIA,75.0,104.0,162.0,24.0,10.0,93.0,36.0,153.0
Trevor Ariza,2011.0,SF,NOH,75.0,61.0,347.0,162.0,120.0,31.0,118.0,826.0
D.J. Augustin,2011.0,PG,CHA,82.0,38.0,187.0,498.0,54.0,3.0,155.0,1178.0
Leandro Barbosa,2011.0,SG,TOR,58.0,14.0,85.0,119.0,50.0,6.0,84.0,769.0
J.J. Barea,2011.0,PG,DAL,81.0,29.0,130.0,317.0,30.0,1.0,136.0,769.0
Matt Barnes,2011.0,SF,LAL,53.0,73.0,155.0,71.0,39.0,22.0,58.0,356.0
Brandon Bass,2011.0,PF,ORL,76.0,134.0,290.0,57.0,27.0,52.0,97.0,854.0
Nicolas Batum,2011.0,SF,POR,80.0,109.0,252.0,123.0,68.0,49.0,83.0,990.0
Jerryd Bayless,2011.0,PG,TOT,71.0,26.0,139.0,266.0,38.0,5.0,127.0,651.0
Michael Beasley,2011.0,SF,MIN,73.0,118.0,291.0,158.0,54.0,52.0,195.0,1401.0
Marco Belinelli,2011.0,SG,NOH,80.0,17.0,134.0,92.0,38.0,6.0,77.0,836.0
Andrew Bogut,2011.0,C,MIL,65.0,199.0,521.0,131.0,47.0,168.0,125.0,830.0
Corey Brewer,2011.0,SF-SG,TOT,69.0,57.0,118.0,89.0,100.0,16.0,87.0,552.0
Jose Calderon,2011.0,PG,TOR,68.0,30.0,172.0,605.0,81.0,7.0,148.0,669.0
DeMarre Carroll,2011.0,PF,TOT,12.0,2.0,6.0,4.0,1.0,1.0,0.0,10.0
Vince Carter,2011.0,SG,TOT,73.0,54.0,221.0,146.0,67.0,20.0,90.0,1022.0
Tyson Chandler,2011.0,C,DAL,74.0,206.0,486.0,32.0,36.0,80.0,88.0,748.0
Darren Collison,2011.0,PG,IND,79.0,40.0,185.0,403.0,87.0,14.0,194.0,1039.0
Nick Collison,2011.0,C,OKC,71.0,119.0,197.0,69.0,42.0,31.0,55.0,329.0
Mike Conley,2011.0,PG,MEM,81.0,32.0,215.0,528.0,144.0,18.0,176.0,1107.0
Dante Cunningham,2011.0,PF,TOT,78.0,96.0,181.0,43.0,54.0,43.0,51.0,482.0
Stephen Curry,2011.0,PG,GSW,74.0,52.0,234.0,432.0,109.0,20.0,226.0,1373.0
Luol Deng,2011.0,SF,CHI,82.0,116.0,360.0,230.0,78.0,48.0,156.0,1430.0
DeMar DeRozan,2011.0,SG,TOR,82.0,75.0,240.0,148.0,85.0,31.0,144.0,1410.0
Boris Diaw,2011.0,PF,CHA,82.0,105.0,309.0,337.0,74.0,46.0,166.0,924.0
Goran Dragic,2011.0,PG,TOT,70.0,36.0,106.0,204.0,50.0,10.0,117.0,523.0
Jared Dudley,2011.0,SF,PHO,82.0,111.0,207.0,108.0,87.0,20.0,77.0,867.0
Mike Dunleavy,2011.0,SG,IND,61.0,28.0,248.0,105.0,40.0,30.0,69.0,682.0
Kevin Durant,2011.0,SF,OKC,78.0,57.0,476.0,214.0,88.0,76.0,218.0,2161.0
Wayne Ellington,2011.0,SG,MIN,62.0,26.0,82.0,72.0,28.0,3.0,53.0,410.0
Monta Ellis,2011.0,SG,GSW,80.0,44.0,237.0,450.0,168.0,23.0,252.0,1929.0
Tyreke Evans,2011.0,SG,SAC,57.0,46.0,229.0,319.0,85.0,30.0,184.0,1012.0
Raymond Felton,2011.0,PG-SG,TOT,75.0,48.0,221.0,625.0,125.0,11.0,221.0,1164.0
Randy Foye,2011.0,SG,LAC,63.0,13.0,90.0,170.0,47.0,21.0,95.0,616.0
Marc Gasol,2011.0,C,MEM,81.0,154.0,415.0,200.0,74.0,136.0,146.0,951.0
Pau Gasol,2011.0,C,LAL,82.0,268.0,568.0,273.0,48.0,130.0,142.0,1541.0
Rudy Gay,2011.0,SF,MEM,54.0,82.0,254.0,153.0,91.0,58.0,135.0,1069.0
Alonzo Gee,2011.0,SG,TOT,56.0,62.0,120.0,38.0,40.0,18.0,55.0,331.0
Taj Gibson,2011.0,PF,CHI,80.0,162.0,296.0,58.0,39.0,106.0,71.0,569.0
Manu Ginobili,2011.0,SG,SAS,80.0,42.0,253.0,393.0,123.0,28.0,174.0,1393.0
Eric Gordon,2011.0,SG,LAC,56.0,45.0,119.0,244.0,71.0,18.0,151.0,1247.0
Marcin Gortat,2011.0,C,TOT,80.0,148.0,483.0,70.0,36.0,91.0,81.0,817.0
Danny Green,2011.0,SG,SAS,8.0,3.0,12.0,2.0,2.0,1.0,5.0,41.0
James Harden,2011.0,SG,OKC,82.0,42.0,213.0,176.0,92.0,24.0,106.0,998.0
Devin Harris,2011.0,PG,TOT,71.0,17.0,152.0,503.0,70.0,7.0,207.0,1079.0
Udonis Haslem,2011.0,PF,MIA,13.0,29.0,77.0,6.0,7.0,3.0,14.0,104.0
Spencer Hawes,2011.0,C,PHI,81.0,129.0,336.0,121.0,29.0,71.0,97.0,584.0
Gerald Henderson,2011.0,SG,CHA,68.0,49.0,158.0,101.0,50.0,32.0,64.0,653.0
Roy Hibbert,2011.0,C,IND,81.0,182.0,428.0,166.0,33.0,142.0,185.0,1025.0
Nene Hilario,2011.0,C,DEN,75.0,145.0,426.0,149.0,84.0,73.0,134.0,1091.0
George Hill,2011.0,PG,SAS,76.0,24.0,175.0,193.0,66.0,21.0,99.0,884.0
Jordan Hill,2011.0,C,HOU,72.0,128.0,178.0,29.0,14.0,52.0,62.0,406.0
Jrue Holiday,2011.0,PG,PHI,82.0,68.0,264.0,531.0,120.0,29.0,218.0,1145.0
Al Horford,2011.0,C,ATL,77.0,182.0,536.0,266.0,59.0,80.0,119.0,1178.0
Dwight Howard,2011.0,C,ORL,78.0,309.0,789.0,107.0,107.0,186.0,279.0,1784.0
Kris Humphries,2011.0,PF,NJN,74.0,225.0,546.0,84.0,33.0,80.0,103.0,741.0
Serge Ibaka,2011.0,PF,OKC,82.0,214.0,408.0,22.0,31.0,198.0,71.0,808.0
Andre Iguodala,2011.0,SF,PHI,67.0,61.0,326.0,422.0,101.0,38.0,138.0,945.0
Ersan Ilyasova,2011.0,PF,MIL,60.0,105.0,260.0,56.0,51.0,24.0,63.0,571.0
Jarrett Jack,2011.0,SG-PG,TOT,83.0,20.0,153.0,242.0,54.0,6.0,110.0,735.0
LeBron James,2011.0,SF,MIA,79.0,80.0,510.0,554.0,124.0,50.0,284.0,2111.0
Al Jefferson,2011.0,C,UTA,82.0,235.0,559.0,149.0,46.0,153.0,105.0,1528.0
Richard Jefferson,2011.0,SF,SAS,81.0,54.0,256.0,107.0,38.0,34.0,93.0,891.0
Brandon Jennings,2011.0,PG,MIL,63.0,42.0,192.0,305.0,95.0,21.0,146.0,1019.0
Amir Johnson,2011.0,PF,TOR,72.0,189.0,272.0,81.0,53.0,88.0,69.0,688.0
James Johnson,2011.0,SF,TOT,38.0,37.0,105.0,89.0,33.0,37.0,64.0,271.0
Joe Johnson,2011.0,SG,ATL,72.0,59.0,232.0,338.0,47.0,7.0,146.0,1312.0
James Jones,2011.0,SF,MIA,81.0,23.0,137.0,43.0,29.0,19.0,21.0,475.0
DeAndre Jordan,2011.0,C,LAC,80.0,207.0,368.0,42.0,41.0,142.0,101.0,566.0
Kyle Korver,2011.0,SG,CHI,82.0,12.0,138.0,124.0,35.0,20.0,60.0,681.0
Kosta Koufos,2011.0,C,TOT,50.0,57.0,73.0,7.0,10.0,25.0,31.0,160.0
Ty Lawson,2011.0,PG,DEN,80.0,67.0,142.0,377.0,80.0,4.0,137.0,933.0
Courtney Lee,2011.0,SG,HOU,81.0,51.0,158.0,100.0,58.0,18.0,68.0,672.0
David Lee,2011.0,PF,GSW,73.0,217.0,497.0,233.0,74.0,31.0,170.0,1203.0
Shaun Livingston,2011.0,PG,CHA,73.0,29.0,120.0,164.0,47.0,29.0,88.0,479.0
Brook Lopez,2011.0,C,NJN,82.0,197.0,291.0,129.0,47.0,120.0,176.0,1673.0
Robin Lopez,2011.0,C,PHO,67.0,82.0,134.0,8.0,18.0,45.0,48.0,432.0
Kevin Love,2011.0,PF,MIN,73.0,330.0,782.0,184.0,45.0,28.0,155.0,1476.0
Kyle Lowry,2011.0,PG,HOU,75.0,89.0,220.0,500.0,102.0,23.0,158.0,1011.0
Ian Mahinmi,2011.0,C,DAL,56.0,43.0,77.0,8.0,14.0,15.0,25.0,173.0
Wesley Matthews,2011.0,SG,POR,82.0,48.0,210.0,164.0,102.0,9.0,138.0,1300.0
Luc Mbah,2011.0,PF,MIL,79.0,169.0,251.0,68.0,72.0,28.0,77.0,529.0
JaVale McGee,2011.0,C,WAS,79.0,223.0,411.0,38.0,41.0,193.0,102.0,798.0
Josh McRoberts,2011.0,PF,IND,72.0,109.0,273.0,150.0,47.0,57.0,93.0,533.0
Jodie Meeks,2011.0,SG,PHI,74.0,21.0,150.0,78.0,63.0,4.0,60.0,774.0
C.J. Miles,2011.0,SF,UTA,78.0,54.0,201.0,135.0,74.0,38.0,93.0,1000.0
Mike Miller,2011.0,SG,MIA,41.0,38.0,146.0,51.0,20.0,2.0,41.0,228.0
Paul Millsap,2011.0,PF,UTA,76.0,164.0,415.0,187.0,103.0,69.0,145.0,1315.0
Anthony Morrow,2011.0,SG,NJN,58.0,37.0,135.0,68.0,19.0,7.0,54.0,764.0
Jameer Nelson,2011.0,PG,ORL,76.0,37.0,189.0,456.0,75.0,3.0,194.0,997.0
Steve Novak,2011.0,SF,TOT,30.0,4.0,24.0,3.0,1.0,5.0,4.0,104.0
Dirk Nowitzki,2011.0,PF,DAL,73.0,50.0,463.0,190.0,38.0,47.0,137.0,1681.0
Tony Parker,2011.0,PG,SAS,78.0,30.0,208.0,513.0,90.0,3.0,200.0,1368.0
Chris Paul,2011.0,PG,NOH,80.0,38.0,289.0,782.0,188.0,5.0,177.0,1268.0
Paul Pierce,2011.0,SF,BOS,80.0,34.0,396.0,260.0,80.0,51.0,171.0,1511.0
Ronnie Price,2011.0,SG,UTA,59.0,22.0,39.0,56.0,42.0,5.0,55.0,197.0
Zach Randolph,2011.0,PF,MEM,75.0,326.0,588.0,163.0,63.0,25.0,151.0,1504.0
J.J. Redick,2011.0,SG,ORL,59.0,6.0,107.0,102.0,29.0,3.0,53.0,593.0
Rajon Rondo,2011.0,PG,BOS,68.0,87.0,210.0,760.0,153.0,11.0,234.0,721.0
Brandon Rush,2011.0,SG,IND,67.0,33.0,184.0,62.0,41.0,35.0,69.0,607.0
Luis Scola,2011.0,PF,HOU,74.0,147.0,459.0,185.0,48.0,44.0,147.0,1352.0
Thabo Sefolosha,2011.0,SG,OKC,79.0,65.0,281.0,111.0,97.0,38.0,55.0,401.0
Ramon Sessions,2011.0,PG,CLE,81.0,46.0,209.0,419.0,60.0,8.0,178.0,1075.0
J.R. Smith,2011.0,SF,DEN,79.0,45.0,277.0,175.0,92.0,16.0,100.0,969.0
Jason Smith,2011.0,C,NOH,77.0,89.0,152.0,36.0,26.0,32.0,53.0,331.0
Marreese Speights,2011.0,C,PHI,64.0,64.0,146.0,30.0,8.0,19.0,40.0,344.0
Rodney Stuckey,2011.0,PG,DET,70.0,70.0,146.0,361.0,76.0,10.0,155.0,1082.0
Jeff Teague,2011.0,PG,ATL,70.0,11.0,91.0,138.0,45.0,25.0,64.0,361.0
Jason Terry,2011.0,SG,DAL,82.0,24.0,129.0,334.0,93.0,13.0,167.0,1293.0
Marcus Thornton,2011.0,SG,TOT,73.0,61.0,197.0,135.0,64.0,9.0,93.0,933.0
Anthony Tolliver,2011.0,SF,MIN,65.0,92.0,203.0,82.0,28.0,28.0,49.0,434.0
Beno Udrih,2011.0,PG,SAC,79.0,41.0,224.0,386.0,94.0,9.0,141.0,1086.0
Anderson Varejao,2011.0,C,CLE,31.0,98.0,203.0,45.0,27.0,38.0,40.0,282.0
Dwyane Wade,2011.0,SG,MIA,76.0,123.0,362.0,346.0,111.0,87.0,237.0,1941.0
C.J. Watson,2011.0,PG,CHI,82.0,16.0,78.0,186.0,55.0,11.0,73.0,405.0
David West,2011.0,PF,NOH,70.0,155.0,374.0,164.0,67.0,62.0,142.0,1322.0
Russell Westbrook,2011.0,PG,OKC,82.0,121.0,258.0,670.0,155.0,30.0,316.0,1793.0
Deron Williams,2011.0,PG,TOT,65.0,40.0,220.0,667.0,79.0,15.0,230.0,1309.0
Lou Williams,2011.0,SG,PHI,75.0,32.0,117.0,252.0,47.0,17.0,102.0,1027.0
Nick Young,2011.0,SG,WAS,64.0,26.0,148.0,75.0,45.0,17.0,90.0,1115.0
Thaddeus Young,2011.0,PF,PHI,82.0,153.0,281.0,82.0,90.0,26.0,99.0,1045.0
Arron Afflalo,2012.0,SG,DEN,62.0,40.0,157.0,149.0,36.0,13.0,85.0,943.0
LaMarcus Aldridge,2012.0,PF,POR,55.0,150.0,292.0,134.0,51.0,45.0,111.0,1191.0
Tony Allen,2012.0,SG,MEM,58.0,98.0,135.0,79.0,104.0,33.0,94.0,568.0
Chris Andersen,2012.0,C,DEN,32.0,48.0,100.0,6.0,19.0,46.0,17.0,168.0
Ryan Anderson,2012.0,PF,ORL,61.0,224.0,247.0,54.0,50.0,26.0,57.0,980.0
Carmelo Anthony,2012.0,SF,NYK,55.0,88.0,256.0,200.0,62.0,24.0,144.0,1245.0
Joel Anthony,2012.0,C,MIA,64.0,100.0,150.0,9.0,36.0,84.0,45.0,219.0
Trevor Ariza,2012.0,SF,NOH,41.0,41.0,174.0,135.0,69.0,25.0,76.0,444.0
D.J. Augustin,2012.0,PG,CHA,48.0,24.0,85.0,307.0,36.0,1.0,110.0,532.0
Leandro Barbosa,2012.0,SG,TOT,64.0,33.0,95.0,96.0,56.0,7.0,94.0,708.0
J.J. Barea,2012.0,PG,MIN,41.0,14.0,100.0,232.0,21.0,0.0,103.0,463.0
Matt Barnes,2012.0,SF,LAL,63.0,97.0,247.0,126.0,35.0,48.0,73.0,491.0
Brandon Bass,2012.0,PF,BOS,59.0,95.0,270.0,55.0,34.0,54.0,65.0,738.0
Nicolas Batum,2012.0,SF,POR,59.0,81.0,190.0,84.0,57.0,60.0,90.0,818.0
Jerryd Bayless,2012.0,PG,TOR,31.0,8.0,58.0,118.0,24.0,4.0,53.0,353.0
Michael Beasley,2012.0,SF,MIN,47.0,39.0,168.0,45.0,18.0,19.0,80.0,541.0
Marco Belinelli,2012.0,SG,NOH,66.0,19.0,153.0,101.0,48.0,5.0,69.0,780.0
Andrew Bogut,2012.0,C,MIL,12.0,22.0,78.0,31.0,12.0,24.0,24.0,136.0
Corey Brewer,2012.0,SF,DEN,59.0,43.0,107.0,88.0,72.0,17.0,56.0,525.0
Jose Calderon,2012.0,PG,TOR,53.0,19.0,141.0,468.0,47.0,3.0,104.0,555.0
DeMarre Carroll,2012.0,SF-PF,TOT,24.0,28.0,25.0,18.0,12.0,1.0,11.0,107.0
Vince Carter,2012.0,SG,DAL,61.0,32.0,173.0,139.0,56.0,25.0,84.0,615.0
Tyson Chandler,2012.0,C,NYK,62.0,212.0,400.0,56.0,56.0,89.0,102.0,699.0
Darren Collison,2012.0,PG,IND,60.0,30.0,157.0,287.0,49.0,14.0,114.0,621.0
Nick Collison,2012.0,PF,OKC,63.0,119.0,155.0,82.0,33.0,28.0,61.0,284.0
Mike Conley,2012.0,PG,MEM,62.0,22.0,134.0,404.0,136.0,11.0,125.0,788.0
Dante Cunningham,2012.0,PF,MEM,64.0,91.0,155.0,37.0,42.0,34.0,29.0,333.0
Stephen Curry,2012.0,PG,GSW,26.0,15.0,73.0,138.0,39.0,8.0,65.0,383.0
Luol Deng,2012.0,SF,CHI,54.0,77.0,273.0,157.0,56.0,36.0,96.0,828.0
DeMar DeRozan,2012.0,SG,TOR,63.0,40.0,171.0,128.0,48.0,17.0,123.0,1054.0
Boris Diaw,2012.0,PF,TOT,57.0,70.0,210.0,205.0,34.0,25.0,112.0,365.0
Goran Dragic,2012.0,PG,HOU,66.0,53.0,115.0,351.0,85.0,10.0,157.0,775.0
Jared Dudley,2012.0,SG,PHO,65.0,95.0,206.0,112.0,49.0,19.0,72.0,823.0
Mike Dunleavy,2012.0,SF,MIL,55.0,29.0,175.0,117.0,28.0,8.0,58.0,677.0
Kevin Durant,2012.0,SF,OKC,66.0,40.0,487.0,231.0,88.0,77.0,248.0,1850.0
Wayne Ellington,2012.0,SG,MIN,51.0,14.0,85.0,33.0,26.0,10.0,26.0,311.0
Monta Ellis,2012.0,SG,TOT,58.0,20.0,180.0,346.0,85.0,18.0,177.0,1181.0
Tyreke Evans,2012.0,SG,SAC,63.0,64.0,225.0,283.0,84.0,29.0,171.0,1037.0
Raymond Felton,2012.0,PG,POR,60.0,27.0,122.0,390.0,78.0,10.0,170.0,684.0
Randy Foye,2012.0,SG,LAC,65.0,25.0,113.0,146.0,46.0,24.0,73.0,712.0
Marc Gasol,2012.0,C,MEM,65.0,120.0,459.0,204.0,62.0,121.0,121.0,952.0
Pau Gasol,2012.0,PF,LAL,65.0,183.0,495.0,237.0,37.0,88.0,142.0,1129.0
Rudy Gay,2012.0,SF,MEM,65.0,130.0,287.0,147.0,95.0,55.0,161.0,1232.0
Alonzo Gee,2012.0,SG,CLE,63.0,101.0,221.0,113.0,83.0,17.0,114.0,665.0
Taj Gibson,2012.0,PF,CHI,63.0,135.0,197.0,47.0,27.0,81.0,60.0,484.0
Manu Ginobili,2012.0,SG,SAS,34.0,18.0,98.0,151.0,24.0,12.0,64.0,440.0
Eric Gordon,2012.0,PG,NOH,9.0,2.0,23.0,31.0,13.0,4.0,24.0,185.0
Marcin Gortat,2012.0,C,PHO,66.0,185.0,474.0,59.0,48.0,99.0,90.0,1017.0
Danny Green,2012.0,SG,SAS,66.0,54.0,174.0,86.0,58.0,46.0,67.0,603.0
James Harden,2012.0,SG,OKC,62.0,30.0,222.0,229.0,62.0,15.0,137.0,1044.0
Devin Harris,2012.0,PG,UTA,63.0,12.0,100.0,316.0,64.0,13.0,122.0,715.0
Udonis Haslem,2012.0,PF,MIA,64.0,117.0,353.0,42.0,35.0,24.0,60.0,385.0
Spencer Hawes,2012.0,C,PHI,37.0,78.0,192.0,98.0,16.0,48.0,55.0,355.0
Gerald Henderson,2012.0,SG,CHA,55.0,64.0,161.0,126.0,49.0,20.0,100.0,830.0
Roy Hibbert,2012.0,C,IND,65.0,213.0,359.0,108.0,32.0,128.0,128.0,834.0
Nene Hilario,2012.0,C,TOT,39.0,63.0,228.0,80.0,42.0,38.0,96.0,535.0
George Hill,2012.0,PG,IND,50.0,31.0,120.0,145.0,42.0,17.0,52.0,481.0
Jordan Hill,2012.0,C,TOT,39.0,61.0,125.0,16.0,14.0,27.0,31.0,194.0
Jrue Holiday,2012.0,PG,PHI,65.0,57.0,155.0,290.0,103.0,18.0,135.0,879.0
Al Horford,2012.0,C,ATL,11.0,26.0,51.0,24.0,10.0,14.0,16.0,136.0
Dwight Howard,2012.0,C,ORL,54.0,200.0,585.0,104.0,81.0,116.0,175.0,1113.0
Kris Humphries,2012.0,PF,NJN,62.0,233.0,448.0,90.0,50.0,74.0,119.0,855.0
Serge Ibaka,2012.0,PF,OKC,66.0,193.0,305.0,28.0,33.0,241.0,79.0,603.0
Andre Iguodala,2012.0,SF,PHI,62.0,56.0,325.0,339.0,107.0,30.0,115.0,771.0
Ersan Ilyasova,2012.0,PF,MIL,60.0,196.0,333.0,71.0,42.0,44.0,76.0,782.0
Jarrett Jack,2012.0,PG,NOH,45.0,23.0,153.0,285.0,31.0,9.0,106.0,700.0
LeBron James,2012.0,SF,MIA,62.0,94.0,398.0,387.0,115.0,50.0,213.0,1683.0
Al Jefferson,2012.0,C,UTA,61.0,133.0,452.0,134.0,47.0,101.0,62.0,1170.0
Richard Jefferson,2012.0,SF,TOT,63.0,26.0,193.0,88.0,37.0,19.0,50.0,578.0
Brandon Jennings,2012.0,PG,MIL,66.0,49.0,177.0,365.0,104.0,22.0,146.0,1260.0
Amir Johnson,2012.0,PF,TOR,64.0,149.0,259.0,79.0,33.0,69.0,94.0,452.0
James Johnson,2012.0,SF,TOR,62.0,74.0,218.0,122.0,71.0,84.0,101.0,566.0
Joe Johnson,2012.0,SG,ATL,60.0,53.0,168.0,232.0,48.0,13.0,116.0,1129.0
James Jones,2012.0,SG,MIA,51.0,6.0,43.0,19.0,17.0,9.0,10.0,185.0
DeAndre Jordan,2012.0,C,LAC,66.0,202.0,344.0,17.0,30.0,134.0,74.0,486.0
Kyle Korver,2012.0,SG,CHI,65.0,26.0,133.0,112.0,36.0,15.0,53.0,529.0
Kosta Koufos,2012.0,C,DEN,48.0,95.0,163.0,15.0,24.0,41.0,33.0,263.0
Ty Lawson,2012.0,PG,DEN,61.0,54.0,173.0,401.0,82.0,6.0,149.0,999.0
Courtney Lee,2012.0,SG,HOU,58.0,26.0,133.0,88.0,68.0,22.0,64.0,660.0
David Lee,2012.0,PF,GSW,57.0,171.0,374.0,162.0,54.0,22.0,149.0,1147.0
Shaun Livingston,2012.0,SG,MIL,58.0,39.0,84.0,122.0,27.0,20.0,66.0,318.0
Brook Lopez,2012.0,C,NJN,5.0,8.0,10.0,6.0,1.0,4.0,6.0,96.0
Robin Lopez,2012.0,C,PHO,64.0,90.0,119.0,20.0,18.0,60.0,43.0,348.0
Kevin Love,2012.0,PF,MIN,55.0,226.0,508.0,111.0,47.0,28.0,128.0,1432.0
Kyle Lowry,2012.0,PG,HOU,47.0,37.0,176.0,310.0,73.0,14.0,130.0,670.0
Ian Mahinmi,2012.0,C,DAL,61.0,108.0,181.0,12.0,38.0,31.0,50.0,354.0
Wesley Matthews,2012.0,SG,POR,66.0,56.0,168.0,113.0,96.0,15.0,73.0,904.0
Luc Mbah,2012.0,PF,MIL,43.0,77.0,150.0,29.0,40.0,22.0,39.0,333.0
JaVale McGee,2012.0,C,TOT,61.0,163.0,314.0,31.0,35.0,132.0,87.0,691.0
