Player,Season,Pos,Team,G,ORB,DRB,AST,STL,BLK,TOV,PTS
Jarrett Jack,2017.0,PG,NOP,2.0,0.0,0.0,5.0,2.0,0.0,3.0,6.0
LeBron James,2017.0,SF,CLE,74.0,97.0,543.0,646.0,92.0,44.0,303.0,1954.0
Al Jefferson,2017.0,C,IND,66.0,75.0,203.0,57.0,19.0,16.0,33.0,535.0
Richard Jefferson,2017.0,SF,CLE,79.0,28.0,174.0,78.0,26.0,10.0,52.0,448.0
Brandon Jennings,2017.0,PG,TOT,81.0,29.0,167.0,395.0,70.0,5.0,128.0,577.0
Amir Johnson,2017.0,PF,BOS,80.0,117.0,248.0,140.0,52.0,62.0,77.0,520.0
James Johnson,2017.0,PF,MIA,76.0,66.0,309.0,276.0,76.0,86.0,171.0,975.0
Joe Johnson,2017.0,SF,UTA,78.0,33.0,209.0,144.0,36.0,18.0,69.0,715.0
James Jones,2017.0,SF,CLE,48.0,3.0,35.0,14.0,7.0,10.0,10.0,132.0
DeAndre Jordan,2017.0,C,LAC,81.0,297.0,817.0,96.0,52.0,135.0,116.0,1029.0
Kyle Korver,2017.0,SG,TOT,67.0,8.0,179.0,110.0,34.0,21.0,69.0,678.0
Kosta Koufos,2017.0,C,SAC,71.0,118.0,285.0,47.0,36.0,48.0,61.0,470.0
Ty Lawson,2017.0,PG,SAC,69.0,44.0,135.0,335.0,74.0,6.0,129.0,681.0
Courtney Lee,2017.0,SG,NYK,77.0,53.0,207.0,179.0,81.0,23.0,69.0,835.0
David Lee,2017.0,PF,SAS,79.0,148.0,292.0,124.0,31.0,40.0,82.0,576.0
Shaun Livingston,2017.0,PG,GSW,76.0,28.0,123.0,139.0,38.0,20.0,61.0,389.0
Brook Lopez,2017.0,C,BRK,75.0,121.0,282.0,176.0,38.0,124.0,184.0,1539.0
Robin Lopez,2017.0,C,CHI,81.0,243.0,276.0,80.0,18.0,117.0,90.0,839.0
Kevin Love,2017.0,PF,CLE,60.0,148.0,518.0,116.0,53.0,22.0,122.0,1142.0
Kyle Lowry,2017.0,PG,TOR,60.0,48.0,240.0,417.0,88.0,19.0,173.0,1344.0
Ian Mahinmi,2017.0,C,WAS,31.0,47.0,103.0,19.0,33.0,24.0,34.0,173.0
Wesley Matthews,2017.0,SG,DAL,73.0,18.0,241.0,210.0,77.0,16.0,102.0,986.0
Luc Mbah,2017.0,SF,LAC,80.0,47.0,127.0,39.0,81.0,35.0,47.0,484.0
JaVale McGee,2017.0,C,GSW,77.0,100.0,144.0,17.0,19.0,67.0,40.0,472.0
Josh McRoberts,2017.0,PF,MIA,22.0,23.0,51.0,50.0,10.0,4.0,23.0,107.0
Jodie Meeks,2017.0,SG,ORL,36.0,5.0,72.0,45.0,34.0,4.0,36.0,327.0
C.J. Miles,2017.0,SF,IND,76.0,30.0,199.0,48.0,46.0,25.0,40.0,815.0
Mike Miller,2017.0,SF,DEN,20.0,3.0,36.0,22.0,2.0,0.0,13.0,28.0
Paul Millsap,2017.0,PF,ATL,69.0,111.0,422.0,252.0,90.0,62.0,158.0,1246.0
Anthony Morrow,2017.0,SG,TOT,49.0,12.0,19.0,25.0,24.0,2.0,6.0,271.0
Jameer Nelson,2017.0,PG,DEN,75.0,28.0,164.0,385.0,53.0,8.0,129.0,687.0
Steve Novak,2017.0,PF,MIL,8.0,0.0,3.0,0.0,0.0,0.0,0.0,5.0
Dirk Nowitzki,2017.0,PF,DAL,54.0,23.0,330.0,82.0,30.0,38.0,51.0,769.0
Tony Parker,2017.0,PG,SAS,63.0,9.0,104.0,285.0,33.0,2.0,89.0,638.0
Chris Paul,2017.0,PG,LAC,61.0,41.0,263.0,563.0,118.0,8.0,147.0,1104.0
Paul Pierce,2017.0,SF,LAC,25.0,1.0,47.0,10.0,4.0,5.0,16.0,81.0
Ronnie Price,2017.0,PG,PHO,14.0,3.0,8.0,18.0,11.0,1.0,3.0,14.0
Zach Randolph,2017.0,PF,MEM,73.0,182.0,416.0,122.0,38.0,10.0,99.0,1028.0
J.J. Redick,2017.0,SG,LAC,78.0,11.0,160.0,110.0,55.0,13.0,98.0,1173.0
Rajon Rondo,2017.0,PG,CHI,69.0,73.0,282.0,461.0,99.0,11.0,168.0,538.0
Brandon Rush,2017.0,SG,MIN,47.0,16.0,83.0,45.0,22.0,23.0,28.0,197.0
Luis Scola,2017.0,PF,BRK,36.0,51.0,88.0,37.0,14.0,4.0,34.0,184.0
Thabo Sefolosha,2017.0,SF,ATL,62.0,54.0,216.0,107.0,96.0,31.0,58.0,444.0
Ramon Sessions,2017.0,PG,CHO,50.0,11.0,62.0,129.0,26.0,3.0,46.0,312.0
J.R. Smith,2017.0,SG,CLE,41.0,17.0,96.0,62.0,40.0,11.0,26.0,351.0
Jason Smith,2017.0,C,WAS,74.0,64.0,194.0,37.0,21.0,55.0,58.0,420.0
Marreese Speights,2017.0,C,LAC,82.0,88.0,285.0,66.0,23.0,41.0,69.0,711.0
Rodney Stuckey,2017.0,PG,IND,39.0,6.0,78.0,84.0,16.0,0.0,53.0,281.0
Jeff Teague,2017.0,PG,IND,82.0,33.0,298.0,639.0,100.0,32.0,216.0,1254.0
Jason Terry,2017.0,SG,MIL,74.0,15.0,91.0,98.0,45.0,20.0,36.0,307.0
Marcus Thornton,2017.0,SG,WAS,33.0,22.0,54.0,41.0,19.0,3.0,25.0,219.0
Anthony Tolliver,2017.0,PF,SAC,65.0,51.0,188.0,77.0,33.0,20.0,56.0,461.0
Beno Udrih,2017.0,PG,DET,39.0,6.0,51.0,131.0,13.0,0.0,37.0,227.0
Anderson Varejao,2017.0,C,GSW,14.0,12.0,15.0,10.0,3.0,3.0,8.0,18.0
Dwyane Wade,2017.0,SG,CHI,60.0,64.0,207.0,229.0,86.0,41.0,138.0,1096.0
C.J. Watson,2017.0,PG,ORL,62.0,16.0,73.0,114.0,43.0,2.0,47.0,281.0
David West,2017.0,C,GSW,68.0,47.0,156.0,151.0,42.0,48.0,78.0,316.0
Russell Westbrook,2017.0,PG,OKC,81.0,137.0,727.0,840.0,133.0,31.0,438.0,2558.0
Deron Williams,2017.0,PG,TOT,64.0,14.0,133.0,360.0,31.0,8.0,138.0,701.0
Lou Williams,2017.0,SG,TOT,81.0,26.0,176.0,239.0,80.0,19.0,160.0,1421.0
Nick Young,2017.0,SG,LAL,60.0,25.0,112.0,58.0,37.0,14.0,36.0,791.0
Thaddeus Young,2017.0,PF,IND,74.0,131.0,318.0,122.0,114.0,30.0,96.0,814.0
Omri Casspi,2010.0,SF,SAC,77.0,75.0,274.0,95.0,54.0,17.0,98.0,792.0
Jamal Crawford,2010.0,SG,ATL,79.0,34.0,167.0,238.0,61.0,12.0,137.0,1425.0
Toney Douglas,2010.0,PG,NYK,56.0,40.0,68.0,112.0,42.0,3.0,55.0,481.0
Patty Mills,2010.0,PG,POR,10.0,1.0,1.0,5.0,0.0,0.0,4.0,26.0
Joakim Noah,2010.0,C,CHI,64.0,220.0,484.0,132.0,32.0,100.0,117.0,687.0
Zaza Pachulia,2010.0,C,ATL,78.0,117.0,176.0,42.0,37.0,31.0,58.0,333.0
Marvin Williams,2010.0,SF,ATL,81.0,106.0,310.0,93.0,66.0,46.0,72.0,820.0
Omri Casspi,2011.0,SF,SAC,71.0,74.0,233.0,74.0,54.0,13.0,68.0,610.0
Jamal Crawford,2011.0,SG,ATL,76.0,22.0,108.0,241.0,57.0,14.0,145.0,1077.0
Toney Douglas,2011.0,SG,NYK,81.0,65.0,179.0,244.0,89.0,4.0,89.0,856.0
Patty Mills,2011.0,PG,POR,64.0,19.0,32.0,109.0,27.0,1.0,62.0,353.0
Joakim Noah,2011.0,C,CHI,48.0,182.0,316.0,107.0,48.0,72.0,90.0,561.0
Zaza Pachulia,2011.0,C,ATL,79.0,119.0,214.0,58.0,34.0,22.0,69.0,349.0
Marvin Williams,2011.0,SF,ATL,65.0,68.0,245.0,88.0,34.0,23.0,62.0,676.0
Omri Casspi,2012.0,SF,CLE,65.0,63.0,165.0,66.0,37.0,21.0,64.0,459.0
Jamal Crawford,2012.0,PG,POR,60.0,16.0,102.0,191.0,55.0,14.0,111.0,837.0
Toney Douglas,2012.0,PG,NYK,38.0,16.0,56.0,77.0,29.0,1.0,56.0,237.0
Patty Mills,2012.0,PG,SAS,16.0,4.0,24.0,39.0,10.0,1.0,26.0,165.0
Joakim Noah,2012.0,C,CHI,64.0,242.0,387.0,160.0,41.0,92.0,92.0,652.0
Zaza Pachulia,2012.0,C,ATL,58.0,154.0,303.0,79.0,55.0,29.0,81.0,455.0
Marvin Williams,2012.0,SF,ATL,57.0,76.0,218.0,71.0,47.0,18.0,39.0,579.0
Omri Casspi,2013.0,SF,CLE,43.0,20.0,94.0,28.0,25.0,12.0,22.0,173.0
Jamal Crawford,2013.0,SG,LAC,76.0,22.0,106.0,193.0,79.0,13.0,146.0,1255.0
Toney Douglas,2013.0,PG,TOT,71.0,34.0,104.0,151.0,71.0,3.0,81.0,534.0
Patty Mills,2013.0,PG,SAS,58.0,9.0,41.0,62.0,26.0,4.0,39.0,294.0
Joakim Noah,2013.0,C,CHI,66.0,260.0,473.0,262.0,78.0,141.0,176.0,784.0
Zaza Pachulia,2013.0,C,ATL,52.0,132.0,204.0,79.0,35.0,12.0,70.0,306.0
Marvin Williams,2013.0,SF,UTA,73.0,55.0,208.0,77.0,37.0,38.0,60.0,529.0
Omri Casspi,2014.0,PF,HOU,71.0,55.0,205.0,88.0,44.0,14.0,72.0,490.0
Jamal Crawford,2014.0,SG,LAC,69.0,34.0,124.0,223.0,59.0,12.0,135.0,1282.0
Toney Douglas,2014.0,PG,TOT,51.0,18.0,69.0,68.0,19.0,5.0,34.0,202.0
Patty Mills,2014.0,PG,SAS,81.0,34.0,135.0,149.0,68.0,9.0,63.0,826.0
Joakim Noah,2014.0,C,CHI,80.0,282.0,618.0,431.0,99.0,121.0,194.0,1007.0
Zaza Pachulia,2014.0,C,MIL,53.0,141.0,192.0,136.0,45.0,14.0,92.0,408.0
Marvin Williams,2014.0,PF,UTA,66.0,82.0,252.0,78.0,54.0,31.0,53.0,603.0
Omri Casspi,2015.0,SF,SAC,67.0,54.0,206.0,102.0,31.0,9.0,88.0,593.0
Jamal Crawford,2015.0,SG,LAC,64.0,18.0,106.0,158.0,59.0,14.0,92.0,1010.0
Toney Douglas,2015.0,SG,NOP,12.0,2.0,20.0,24.0,11.0,4.0,10.0,51.0
Patty Mills,2015.0,PG,SAS,51.0,21.0,54.0,87.0,28.0,2.0,35.0,351.0
Joakim Noah,2015.0,C,CHI,67.0,219.0,427.0,312.0,48.0,74.0,123.0,485.0
Zaza Pachulia,2015.0,C,MIL,73.0,197.0,303.0,178.0,80.0,21.0,133.0,606.0
Marvin Williams,2015.0,PF,CHO,78.0,58.0,328.0,100.0,69.0,36.0,60.0,577.0
Omri Casspi,2016.0,SF,SAC,69.0,58.0,352.0,95.0,56.0,17.0,94.0,813.0
Jamal Crawford,2016.0,SG,LAC,79.0,20.0,125.0,183.0,52.0,12.0,113.0,1120.0
Toney Douglas,2016.0,PG,NOP,61.0,25.0,118.0,157.0,70.0,5.0,64.0,531.0
Patty Mills,2016.0,PG,SAS,81.0,27.0,131.0,226.0,59.0,6.0,76.0,690.0
Joakim Noah,2016.0,C,CHI,29.0,87.0,168.0,110.0,18.0,29.0,52.0,124.0
Zaza Pachulia,2016.0,C,DAL,76.0,249.0,469.0,128.0,64.0,22.0,119.0,650.0
Marvin Williams,2016.0,PF,CHO,81.0,127.0,394.0,110.0,58.0,77.0,62.0,948.0
Omri Casspi,2017.0,SF,TOT,36.0,27.0,85.0,37.0,23.0,3.0,29.0,186.0
Jamal Crawford,2017.0,SG,LAC,82.0,17.0,112.0,213.0,59.0,14.0,134.0,1008.0
Toney Douglas,2017.0,PG,MEM,24.0,13.0,48.0,56.0,18.0,5.0,21.0,117.0
Patty Mills,2017.0,PG,SAS,80.0,24.0,118.0,280.0,65.0,3.0,101.0,759.0
Joakim Noah,2017.0,C,NYK,46.0,161.0,241.0,103.0,30.0,37.0,58.0,232.0
Zaza Pachulia,2017.0,C,GSW,70.0,140.0,270.0,132.0,59.0,33.0,88.0,426.0
Marvin Williams,2017.0,PF,CHO,76.0,89.0,409.0,106.0,58.0,53.0,60.0,849.0
